Model,Mode,Acc,Type_Acc,CLICK_Score,SCROLL_Score,TYPE_Score,PRESS_Score,ZOOM_Score,FINISH_Score,Comp,Eff,PIR,Total_Steps
Qwen3-VL-235B-A22B,No Video,0.2590,0.6663,0.2758,0.2678,0.0293,0.2923,0.0000,0.0000,0.6973,1.00,,1019
Qwen3-VL-235B-A22B,Uniform10,0.2688,0.6742,0.3507,0.0475,0.1375,0.0650,0.0000,0.0000,0.7169,10.88,0.0378,1019
Gemini-3.1-Flash,No Video,0.2473,0.6919,0.2711,0.2093,0.1822,0.1714,0.0000,0.0000,0.7260,1.00,,1019
Gemini-3.1-Flash,Uniform10,0.2602,0.6703,0.3271,0.0655,0.2167,0.1636,0.0000,0.0000,0.7054,10.88,0.0522,1019
Gemini-3.1-Pro,No Video,0.5851,0.7458,0.7232,0.2773,0.1179,0.1500,0.0000,0.0000,0.7853,1.00,,1019
Gemini-3.1-Pro,Uniform10,0.6168,0.7625,0.7460,0.3015,0.2850,0.2857,0.0833,0.0000,0.7861,10.88,0.0542,1019
Claude-Sonnet-4.6,No Video,0.4435,0.6781,0.5471,0.2012,0.0568,0.2273,0.0833,0.0000,0.7224,1.00,,1019
Claude-Sonnet-4.6,Uniform10,0.4580,0.6771,0.5624,0.2088,0.1564,0.1000,0.0833,0.0000,0.7235,10.88,0.0327,1019
Seed-2.0-Pro,No Video,0.3593,0.7066,0.4295,0.2086,0.1595,0.1150,0.0000,0.0000,0.7475,1.00,,1019
Seed-2.0-Pro,Uniform10,0.3978,0.7596,0.4571,0.2638,0.3014,0.1905,0.0000,0.0000,0.7936,10.88,0.1072,1019
Kimi-K2.5,No Video,0.5722,0.7291,0.7087,0.2677,0.0919,0.0842,0.0000,0.0000,0.7631,1.00,,1019
Kimi-K2.5,Uniform10,0.5822,0.7478,0.7257,0.2453,0.1167,0.1211,0.0000,0.0000,0.7872,10.88,0.0175,1019
GPT-5-Mini,No Video,0.5576,0.7193,0.7137,0.1770,0.0711,0.1000,0.0833,0.0000,0.7597,1.00,,1019
GPT-5-Mini,Uniform10,0.5840,0.7527,0.7522,0.1611,0.0667,0.1905,0.0833,0.0000,0.7896,10.88,0.0473,1019
